"filename", "language", "YAML", "Dart", "C++", "Markdown", "HTML", "JSON", "XML", "Properties", "Swift", "Groovy", "comment", "blank", "total"
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\panoramica\widgets\panoramica_cards_medium.dart", "Dart", 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 134
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\panoramica\widgets\panoramica_cards_small.dart", "Dart", 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 136
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\panoramica\widgets\panoramica_radar.dart", "Dart", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 124
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\parametri\parametri.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\parametri\widget\parametri_large.dart", "Dart", 0, 623, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 648
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\parametri\widget\parametri_medium.dart", "Dart", 0, 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 213
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\parametri\widget\parametri_small.dart", "Dart", 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 147
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\parametri\widget\parametri_tree.dart", "Dart", 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 26, 16, 215
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\parametri\widget\parametri_view.dart", "Dart", 0, 252, 0, 0, 0, 0, 0, 0, 0, 0, 71, 12, 335
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\parametri\widget\parametri_view_tile.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 58
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\tabelle\tabelle.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 18, 3, 47
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\tabelle\widgets\tabelle_datatable.dart", "Dart", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 110, 20, 245
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\tabelle\widgets\tabelle_large.dart", "Dart", 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 15, 10, 192
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\tabelle\widgets\tabelle_medium.dart", "Dart", 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 15, 10, 192
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\tabelle\widgets\tabelle_small.dart", "Dart", 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 15, 10, 192
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\telecamere\telecamere.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 14, 6, 52
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\telecamere\widget\telecamere_immagine.dart", "Dart", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 58
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\telecamere\widget\telecamere_menu.dart", "Dart", 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 138
