"filename", "language", "HTML", "Dart", "YAML", "C++", "Markdown", "JSON", "Swift", "XML", "Properties", "Groovy", "comment", "blank", "total"
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\widgets\menu_controller.dart", "Dart", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 61
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\widgets\side_menu.dart", "Dart", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 84
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\widgets\side_menu_item.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\widgets\small_screen.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 14
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\widgets\top_nav.dart", "Dart", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 99
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\widgets\vertical_menu_item.dart", "Dart", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 67
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\pubspec.yaml", "YAML", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 58, 15, 102
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\web\index.html", "HTML", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 6, 102
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 36
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 5, 12
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 4, 13, 62
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\windows\runner\flutter_window.h", "C++", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\windows\runner\main.cpp", "C++", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\windows\runner\resource.h", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\windows\runner\utils.cpp", "C++", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 2, 10, 65
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\windows\runner\utils.h", "C++", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 15, 48, 246
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\windows\runner\win32_window.h", "C++", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 79, 2054, 32, 405, 13, 180, 12, 126, 8, 86, 446, 445, 3886
