"filename", "language", "Dart", "YAML", "C++", "Markdown", "HTML", "Properties", "Groovy", "JSON", "XML", "Swift", "comment", "blank", "total"
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\data_models\production_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\data_models\states_data.dart", "Dart", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 45
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\helpers\local_navigator.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\helpers\responsivness.dart", "Dart", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 59
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\layout.dart", "Dart", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\main.dart", "Dart", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 58
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\Parameters\parameters.dart", "Dart", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\Parameters\widget\parameters_large.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\Parameters\widget\parameters_medium.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\Parameters\widget\parameters_small.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\Parameters\widget\parameters_tree.dart", "Dart", 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 231
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\Parameters\widget\parameters_view.dart", "Dart", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 122
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\Parameters\widget\parameters_view_tile.dart", "Dart", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 54
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\authentication\authentication.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\manual_operations.dart", "Dart", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 53
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\manual_operation_card.dart", "Dart", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 110
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\manual_operation_large.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\manual_operations_grid.dart", "Dart", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 87
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\manual_operations_group.dart", "Dart", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 120
