"filename", "language", "YAML", "Dart", "Markdown", "C++", "Swift", "HTML", "JSON", "XML", "Groovy", "Properties", "comment", "blank", "total"
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\routing\router.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 39
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\routing\routes.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\custom_dropdownmenu.dart", "Dart", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 55
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\custom_text.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\default_line_chart.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 47
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\editable_textfield.dart", "Dart", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 53
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\horizontal_menu_item.dart", "Dart", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 67
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\large_screen.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\menu_controller.dart", "Dart", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 65
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\side_menu.dart", "Dart", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 82
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\side_menu_item.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
